HomeTeam,AwayTeam,Result Predicted,Away win %,Draw %,Home win %
Man Utd,Leicester,D,20.498171658164114,60.999405621444666,18.50242272039121
Newcastle,Spurs,D,11.2389561034365,66.02112235487465,22.739921541688847
Bournemouth,Cardiff,D,21.358408128718658,58.56306996385976,20.07852190742158
Fulham,Crystal Palace,A,99.6491912094444,0.350706019435519,0.00010277112008617856
Huddersfield,Chelsea,D,15.863578882276089,67.33521260690365,16.80120851082026
Watford,Brighton,D,22.046346854642227,55.830139763646194,22.123513381711575
Wolves,Everton,H,0.0001057748631447022,0.20612674914254545,99.79376747599431
Liverpool,West Ham,D,19.445792561353116,63.32262934453075,17.231578094116124
Southampton,Burnley,D,16.879745302280465,59.123821613633076,23.99643308408645
Arsenal,Man City,D,18.36311008748563,57.026333449241775,24.610556463272598
Cardiff,Newcastle,D,13.102389198609723,59.50765646853444,27.389954332855837
Everton,Southampton,D,21.780233441311196,55.35982201562907,22.859944543059736
Leicester,Wolves,D,27.047120737880892,46.83353873955251,26.11934052256661
Spurs,Fulham,D,19.890213729370583,57.979297981013424,22.130488289615993
West Ham,Bournemouth,D,15.37067216439214,66.52534895037671,18.10397888523116
Chelsea,Arsenal,D,17.11134105307435,58.19497750245265,24.693681444472993
Burnley,Watford,D,18.474332222773658,63.26327363107055,18.262394146155795
Man City,Huddersfield,D,23.74765609126735,53.76414523710024,22.488198671632432
Brighton,Man Utd,D,18.67668870402811,63.389590901879224,17.93372039409265
Crystal Palace,Liverpool,D,17.217416409013946,66.42805208287245,16.35453150811359
Wolves,Man City,D,21.75523983820382,58.52344474632375,19.72131541547243
Arsenal,West Ham,D,15.256220708597294,65.0239327340263,19.719846557376396
Bournemouth,Everton,H,7.910775885346314e-05,0.17817170188718837,99.82174919035397
Huddersfield,Cardiff,D,19.6345533960876,60.197842331980866,20.16760427193153
Southampton,Leicester,D,22.909149542445565,60.57767302515897,16.513177432395462
Liverpool,Brighton,D,28.58759756056375,51.074707564097984,20.33769487533828
Watford,Crystal Palace,A,99.65335208355542,0.3465512846869824,9.663175759003077e-05
Fulham,Burnley,D,17.44828471564809,57.63788312623232,24.9138321581196
Newcastle,Chelsea,D,13.87811756486466,70.00815764635315,16.113724788782182
Man Utd,Spurs,D,10.906435427487093,62.98050369893191,26.113060873580977
Leicester,Liverpool,D,22.372768632234592,53.949795177262494,23.67743619050291
Brighton,Fulham,D,12.761631947916479,61.76881639378065,25.469551658302876
Chelsea,Bournemouth,D,15.481441563750636,63.19742051109536,21.321137925153995
Crystal Palace,Southampton,D,18.363943625134123,65.25337463252112,16.382681742344758
Everton,Huddersfield,D,20.124027234657664,56.65626431986147,23.21970844548085
West Ham,Wolves,D,23.419861115077364,55.76222216261304,20.817916722309594
Man City,Newcastle,D,15.161839178621747,54.50313557140585,30.335025249972407
Cardiff,Arsenal,D,18.999357174854815,57.93315607304715,23.067486752098027
Burnley,Man Utd,D,26.737689252982022,59.45415960678994,13.808151140228025
Watford,Spurs,D,13.17994456839463,63.02238818947041,23.797667242134956
Spurs,Liverpool,D,20.173678313464364,57.787561520967024,22.038760165568604
Bournemouth,Leicester,D,25.543781732738324,58.18986314139919,16.266355125862486
Chelsea,Cardiff,D,20.887327798723497,57.7789438764931,21.3337283247834
Huddersfield,Crystal Palace,A,99.64170963341535,0.35819160562756375,9.87609570758194e-05
Man City,Fulham,D,23.851942493775475,53.86734840141183,22.280709104812697
Newcastle,Arsenal,D,14.14276328088791,63.35573503453939,22.501501684572688
Watford,Man Utd,D,25.368544669410326,60.70058500120988,13.930870329379786
Wolves,Burnley,D,21.978448131867083,57.383150561703665,20.638401306429248
Everton,West Ham,D,16.541612626279935,62.839910521277616,20.618476852442438
Southampton,Brighton,D,20.920020509758807,56.849853743566634,22.23012574667455
Fulham,Watford,D,17.102295905521974,63.77788585964449,19.119818234833527
Burnley,Bournemouth,D,15.76856365315718,64.13804073589553,20.093395610947297
Cardiff,Man City,D,20.32317969965356,57.15365584844666,22.52316445189978
Crystal Palace,Newcastle,D,10.727954950696448,67.04284854569461,22.229196503608943
Leicester,Huddersfield,D,21.965374584264623,54.03349482573782,24.00113058999756
Liverpool,Southampton,D,25.47826528779519,55.510813222613464,19.010921489591347
Man Utd,Wolves,D,18.997664479319727,55.24159339252795,25.760742128152327
Brighton,Spurs,D,9.140819429242294,61.99935169429938,28.859828876458334
West Ham,Chelsea,D,16.775331855556548,68.11540599283015,15.109262151613304
Arsenal,Everton,H,7.15773586066267e-05,0.16102405358246444,99.83890436905894
West Ham,Man Utd,D,26.018476813592045,61.56175459469172,12.419768591716245
Arsenal,Watford,D,18.21630903918696,61.98282635691575,19.80086460389729
Everton,Fulham,D,20.21585976761446,56.774733625898676,23.009406606486866
Huddersfield,Spurs,D,12.839483164627941,63.464000815783685,23.69651601958838
Man City,Brighton,D,28.593029921294534,47.923859227268125,23.48311085143736
Newcastle,Leicester,D,20.87680599541816,63.198702742605185,15.924491261976659
Wolves,Southampton,D,23.773206267411386,58.72530294249432,17.501490790094294
Chelsea,Liverpool,D,18.988103497327423,59.38341025514935,21.628486247523224
Cardiff,Burnley,D,20.502522264975003,55.96042568032787,23.53705205469712
Bournemouth,Crystal Palace,A,99.67944877349103,0.32046080342367866,9.042308527212485e-05
Brighton,West Ham,D,10.274446540307183,67.26920945238382,22.456344007308996
Burnley,Huddersfield,D,18.986083174942667,60.35439459469212,20.659522230365216
Crystal Palace,Wolves,D,21.56474133946679,59.743911570268004,18.691347090265214
Leicester,Everton,H,7.839803940359297e-05,0.13735457723980474,99.8625670247208
Spurs,Cardiff,D,22.15689683699224,56.13857513958869,21.704528023419073
Watford,Bournemouth,D,14.854787522431915,65.01730259391783,20.127909883650254
Man Utd,Newcastle,D,9.258498630441,60.728515858466395,30.012985511092616
Fulham,Arsenal,D,16.127822985809246,59.51762529912621,24.354551715064545
Southampton,Chelsea,D,15.376252508681471,67.75293296709508,16.870814524223444
Liverpool,Man City,D,23.30210546042746,55.28806572721944,21.40982881235311
Chelsea,Man Utd,D,26.38674840092382,58.88553838020252,14.727713218873658
Bournemouth,Southampton,D,20.662766286376755,58.99208367553814,20.34515003808511
Cardiff,Fulham,D,20.7066967545671,59.083391558026776,20.20991168740612
Man City,Burnley,D,23.479259312990518,50.72305004236362,25.797690644645876
Newcastle,Brighton,D,19.10016887088916,59.421682093268004,21.47814903584284
West Ham,Spurs,D,13.702538078993474,64.79091128106928,21.506550639937227
Wolves,Watford,D,21.35527125751604,62.943788205353925,15.700940537130034
Huddersfield,Liverpool,D,17.81984287298944,61.76758131389857,20.412575813111985
Everton,Crystal Palace,A,99.7145032287111,0.28540035015547977,9.642113343251911e-05
Arsenal,Leicester,D,25.129929506460908,57.18061889930084,17.68945159423825
Brighton,Wolves,D,16.119868030811332,55.056194160241,28.823937808947658
Fulham,Bournemouth,D,14.554681752011325,64.47020599887195,20.975112249116734
Liverpool,Cardiff,D,26.28216956756633,54.9944203113403,18.723410121093362
Southampton,Newcastle,D,10.619075344663235,61.89163350274841,27.489291152588365
Watford,Huddersfield,D,17.92840733272514,61.32734727297289,20.74424539430196
Leicester,West Ham,D,18.18273723360844,60.35432254008667,21.462940226304898
Burnley,Chelsea,D,17.26999247794018,65.90155006001262,16.82845746204718
Crystal Palace,Arsenal,D,15.627150306209437,65.56638455121802,18.80646514257254
Man Utd,Everton,H,5.58176357786517e-05,0.16422505697737164,99.83571912538686
Spurs,Man City,D,19.469054996335707,55.934033611063306,24.59691139260098
Bournemouth,Man Utd,D,26.840216953674616,59.37136491523265,13.788418131092719
Cardiff,Leicester,D,27.452748945808636,56.56744543405612,15.979805620135245
Everton,Brighton,D,24.480029079702142,51.022834187105914,24.497136733191937
Newcastle,Watford,D,14.914804092506792,67.51730060751483,17.567895299978378
West Ham,Burnley,D,18.53674197439659,59.83105279700145,21.63220522860197
Arsenal,Liverpool,D,19.028705920953765,58.91915043393111,22.052143645115116
Wolves,Spurs,D,16.426504077793762,62.82787069233592,20.745625229870328
Man City,Southampton,D,25.605875837118212,52.337231483047,22.05689267983479
Chelsea,Crystal Palace,A,99.67661024053598,0.3232915195499704,9.82399140497293e-05
Huddersfield,Fulham,D,17.562513334434378,61.94804677320833,20.489439892357293
Cardiff,Brighton,D,25.152716574610867,53.2634448637407,21.58383856164843
Huddersfield,West Ham,D,14.18654852848166,67.68813081631946,18.125320655198898
Leicester,Burnley,D,21.667813990365513,50.861424121418544,27.47076188821594
Newcastle,Bournemouth,D,12.665706098360877,68.10320726067636,19.231086640962772
Southampton,Watford,D,16.481917893789984,65.17255914488685,18.345522961323173
Crystal Palace,Spurs,D,12.449806899279887,68.4966495898261,19.053543510894013
Liverpool,Fulham,D,23.716325695292646,57.09339573863519,19.19027856607216
Chelsea,Everton,H,7.282045197510618e-05,0.1654644805684893,99.83446269897954
Arsenal,Wolves,D,23.359867349799185,51.93778924362697,24.702343406573842
Man City,Man Utd,D,32.969895342974716,52.21249149113658,14.817613165888691
Brighton,Leicester,D,17.588253917876628,61.47689513601604,20.934850946107336
Everton,Cardiff,D,22.506501544070872,54.94014848007326,22.55334997585586
Fulham,Southampton,D,19.06640802260637,59.59012658003805,21.343465397355583
Man Utd,Crystal Palace,A,99.58165947865756,0.4182124766824842,0.00012804465995465436
Watford,Liverpool,D,18.2686454828771,61.25822961636298,20.47312490075992
West Ham,Man City,D,18.34125377338931,60.995936114773656,20.66281011183702
Spurs,Chelsea,D,18.12299770056916,63.5716744508951,18.30532784853575
Bournemouth,Arsenal,D,17.545897943107505,59.148712173602426,23.305389883290076
Wolves,Huddersfield,D,22.00000522070606,60.195104866701655,17.804889912592273
Burnley,Newcastle,D,11.981122640257373,60.47399226818716,27.544885091555464
Cardiff,Wolves,D,25.721029568776814,51.78745666421564,22.491513767007543
Crystal Palace,Burnley,D,16.967607428602392,63.72465467475057,19.307737896647048
Huddersfield,Brighton,D,21.535495278878372,56.374872853124636,22.08963186799699
Leicester,Watford,D,21.539752597536808,57.07876241787271,21.381484984590486
Man City,Bournemouth,D,19.976950536212122,57.869699032970956,22.153350430816925
Newcastle,West Ham,D,12.389953160357702,70.25584494842546,17.354201891216842
Southampton,Man Utd,D,24.10147280213839,61.88367149828529,14.014855699576332
Chelsea,Fulham,D,18.71750810807332,59.568381393236415,21.71411049869027
Arsenal,Spurs,D,13.731403794890392,60.6296888623421,25.638907342767492
Liverpool,Everton,H,0.00010438849912730197,0.17942161538291623,99.82047399611795
Bournemouth,Huddersfield,D,19.066660031736603,60.294927867042404,20.638412101220986
Brighton,Crystal Palace,A,99.50897021777314,0.49086105777854,0.00016872444832198065
West Ham,Cardiff,D,20.805687556402646,61.02041206996235,18.173900373635
Watford,Man City,D,17.670587185697347,59.427993088359834,22.90141972594282
Burnley,Liverpool,D,19.342084832013324,60.272947082384476,20.38496808560221
Fulham,Leicester,D,23.709113611819518,59.125879151013095,17.165007237167394
Wolves,Chelsea,D,19.96312540691976,65.56874766898821,14.468126924092031
Everton,Newcastle,D,12.645340491018628,56.52768167269038,30.826977836291004
Man Utd,Arsenal,D,13.724126781694885,60.4369796261962,25.838893592108924
Spurs,Southampton,D,21.440002721760912,56.56237084429917,21.997626433939928
Bournemouth,Liverpool,D,19.423809010358013,60.212433631341746,20.363757358300244
Arsenal,Huddersfield,D,18.673543703492683,58.98320122814449,22.343255068362826
Burnley,Brighton,D,23.271438822132836,54.766673738486695,21.961887439380458
Cardiff,Southampton,D,22.309358270731803,57.61173278698133,20.07890894228687
Man Utd,Fulham,D,15.073127816964702,62.11374646673842,22.813125716296884
West Ham,Crystal Palace,A,99.65721439020157,0.34270160856747833,8.400123092536117e-05
Chelsea,Man City,D,18.335414224472675,57.511707224629426,24.152878550897896
Leicester,Spurs,D,16.27650902414137,55.969897490793805,27.753593485064815
Newcastle,Wolves,D,19.59282789509641,57.95577771999826,22.451394384905342
Everton,Watford,D,19.68118472348899,59.68891298181561,20.62990229469539
Man City,Everton,H,9.045391325074994e-05,0.14585215331218193,99.85405739277458
Crystal Palace,Leicester,D,22.66425339554194,64.25919950851214,13.076547095945903
Huddersfield,Newcastle,D,10.97301652140357,61.607663946250504,27.41931953234593
Spurs,Burnley,D,19.619029057450696,54.70539228477258,25.67557865777672
Watford,Cardiff,D,20.117408026079485,59.66687467685482,20.215717297065694
Wolves,Bournemouth,D,18.35294046386018,64.25309944270063,17.39396009343919
Fulham,West Ham,D,14.284394199751322,66.72564932479537,18.989956475453322
Brighton,Chelsea,D,11.578947033489296,67.44228005504908,20.97877291146162
Southampton,Arsenal,D,15.584842122763842,60.98367326455586,23.431484612680293
Liverpool,Man Utd,D,32.49510969588145,54.85440140826889,12.650488895849652
Wolves,Liverpool,D,22.39132326954624,60.057019604001525,17.551657126452223
Arsenal,Burnley,D,18.510472315090304,55.7915042303179,25.698023454591794
Bournemouth,Brighton,D,23.364977880788416,54.7004805383147,21.934541580896898
Chelsea,Leicester,D,25.06199897927755,57.598292891817415,17.33970812890503
Huddersfield,Southampton,D,18.98190205334553,60.59683546502098,20.42126248163348
Man City,Crystal Palace,A,99.77028673866467,0.22963408285260464,7.91784827355607e-05
Newcastle,Fulham,D,15.453645812198506,64.78119100037902,19.765163187422477
West Ham,Watford,D,17.993689691126193,65.56527491472328,16.441035394150543
Cardiff,Man Utd,D,28.815066919086576,57.653971712642104,13.530961368271319
Everton,Spurs,D,14.845442841744397,58.42449944532443,26.730057712931178
Fulham,Wolves,D,22.102384532975634,53.858831902392645,24.038783564631718
Burnley,Everton,H,7.869295855847023e-05,0.1781652012179065,99.82175610582354
Crystal Palace,Cardiff,D,18.995678961424797,64.82485111238489,16.17946992619032
Leicester,Man City,D,21.540393683268675,52.09615786509103,26.363448451640288
Liverpool,Newcastle,D,15.232478440880312,58.36826690733826,26.39925465178143
Man Utd,Huddersfield,D,15.003092320601866,61.97767424577396,23.019233433624176
Spurs,Bournemouth,D,16.50207534098708,61.70100716715744,21.79691749185548
Brighton,Arsenal,D,11.553818139015323,59.76160865262674,28.684573208357943
Watford,Chelsea,D,16.28035181777528,66.85073968867634,16.868908493548375
